rep,seed,duration,throughput,total_idle,peak_wip,total_standby,time_on_site_t1,idle_t1,util_t1,time_on_site_t2,idle_t2,util_t2,time_on_site_t3,idle_t3,util_t3,time_on_site_t4,idle_t4,util_t4,time_on_site_t5,idle_t5,util_t5
1,100,24,4.166666666666667,50,24,0,20,0,1.0,23,17,0.8547,23,13,0.885,24,12,0.8929,24,8,0.9259
2,101,28,3.5714285714285716,160,20,0,24,0,1.0,24,36,0.7353,28,40,0.7143,28,36,0.7353,28,48,0.6757
3,102,26,3.8461538461538463,61,24,0,20,4,0.9615,21,11,0.9009,23,5,0.9524,25,19,0.8403,26,22,0.8197
4,103,26,3.8461538461538463,85,24,0,20,0,1.0,22,6,0.9434,23,9,0.9174,24,24,0.8065,26,46,0.6849
5,104,30,3.3333333333333335,86,24,0,24,4,0.9615,26,6,0.9434,26,30,0.7692,28,20,0.8333,30,26,0.7937
6,105,24,4.166666666666667,74,32,0,18,2,0.9804,24,0,1.0,24,24,0.8065,24,28,0.7812,24,20,0.8333
7,106,26,3.8461538461538463,77,28,0,19,1,0.9901,22,2,0.9804,22,14,0.8772,26,26,0.7937,26,34,0.7463
8,107,24,4.166666666666667,42,32,0,19,1,0.9901,19,13,0.885,22,10,0.9091,22,18,0.8475,24,0,1.0
9,108,27,3.7037037037037037,104,20,0,22,2,0.9804,26,10,0.9091,26,30,0.7692,27,29,0.7752,27,33,0.7519
10,109,27,3.7037037037037037,77,28,0,20,0,1.0,23,1,0.9901,24,20,0.8333,25,27,0.7874,27,29,0.7752
11,110,27,3.7037037037037037,132,12,0,26,6,0.9434,26,34,0.7463,26,30,0.7692,27,25,0.8,27,37,0.7299
12,111,26,3.8461538461538463,82,28,0,19,1,0.9901,22,6,0.9434,23,25,0.8,24,24,0.8065,26,26,0.7937
13,112,23,4.3478260869565215,79,16,0,20,0,1.0,20,4,0.9615,23,29,0.7752,23,21,0.8264,23,25,0.8
14,113,24,4.166666666666667,64,20,0,20,0,1.0,22,18,0.8475,23,9,0.9174,23,13,0.885,24,24,0.8065
15,114,25,4.0,119,12,0,24,4,0.9615,24,28,0.7812,24,44,0.6944,24,36,0.7353,25,7,0.9346
16,115,24,4.166666666666667,56,16,0,23,1,0.9901,23,17,0.8547,23,17,0.8547,23,9,0.9174,24,12,0.8929
17,116,23,4.3478260869565215,76,24,0,19,5,0.9524,22,6,0.9434,22,6,0.9434,22,26,0.7937,23,33,0.7519
18,117,26,3.8461538461538463,148,12,0,22,6,0.9434,25,7,0.9346,25,39,0.7194,26,54,0.6494,26,42,0.7042
19,118,28,3.5714285714285716,74,35,0,19,1,0.9901,20,8,0.9259,24,4,0.9615,27,21,0.8264,28,40,0.7143
20,119,26,3.8461538461538463,69,20,0,22,6,0.9434,22,6,0.9434,24,12,0.8929,25,23,0.813,26,22,0.8197
21,120,26,3.8461538461538463,136,8,0,24,0,1.0,26,26,0.7937,26,34,0.7463,26,42,0.7042,26,34,0.7463
22,121,27,3.7037037037037037,73,45,0,17,3,0.9709,19,5,0.9524,26,6,0.9434,26,34,0.7463,27,25,0.8
23,122,24,4.166666666666667,91,12,0,23,1,0.9901,23,33,0.7519,23,13,0.885,24,20,0.8333,24,24,0.8065
24,123,27,3.7037037037037037,105,16,0,23,1,0.9901,23,21,0.8264,23,9,0.9174,23,37,0.7299,27,37,0.7299
25,124,24,4.166666666666667,60,20,0,22,6,0.9434,23,9,0.9174,23,5,0.9524,24,12,0.8929,24,28,0.7812
26,125,24,4.166666666666667,92,12,0,23,5,0.9524,23,21,0.8264,23,25,0.8,23,29,0.7752,24,12,0.8929
27,126,23,4.3478260869565215,44,28,0,19,1,0.9901,20,4,0.9615,23,1,0.9901,23,21,0.8264,23,17,0.8547
28,127,26,3.8461538461538463,96,28,0,22,6,0.9434,23,9,0.9174,24,8,0.9259,25,35,0.7407,26,38,0.7246
29,128,26,3.8461538461538463,79,28,0,19,1,0.9901,21,11,0.9009,23,21,0.8264,24,16,0.8621,26,30,0.7692
30,129,27,3.7037037037037037,116,21,0,21,3,0.9709,24,0,1.0,26,30,0.7692,26,42,0.7042,27,41,0.7092
